"","city","type","GEOID","racial_majority","month","filings_2020","filings_avg","last_updated","xcourtcofips"
"230","Pittsburgh, PA","Zip Code","15007","White","06/2020",0,0,"2024-08-10",NA
"231","Pittsburgh, PA","Zip Code","15007","White","07/2020",0,0.25,"2024-08-10",NA
"232","Pittsburgh, PA","Zip Code","15007","White","08/2020",0,0,"2024-08-10",NA
"233","Pittsburgh, PA","Zip Code","15007","White","09/2020",1,0,"2024-08-10",NA
"234","Pittsburgh, PA","Zip Code","15007","White","10/2020",0,0.2,"2024-08-10",NA
"235","Pittsburgh, PA","Zip Code","15007","White","11/2020",0,0,"2024-08-10",NA
"236","Pittsburgh, PA","Zip Code","15007","White","12/2020",0,0,"2024-08-10",NA
"237","Pittsburgh, PA","Zip Code","15007","White","01/2021",1,0.25,"2024-08-10",NA
"238","Pittsburgh, PA","Zip Code","15007","White","02/2021",0,0,"2024-08-10",NA
"239","Pittsburgh, PA","Zip Code","15007","White","03/2021",1,0.2,"2024-08-10",NA
"240","Pittsburgh, PA","Zip Code","15007","White","04/2021",0,0,"2024-08-10",NA
"241","Pittsburgh, PA","Zip Code","15007","White","05/2021",0,0,"2024-08-10",NA
"242","Pittsburgh, PA","Zip Code","15007","White","06/2021",1,0,"2024-08-10",NA
"243","Pittsburgh, PA","Zip Code","15007","White","07/2021",0,0.25,"2024-08-10",NA
"244","Pittsburgh, PA","Zip Code","15007","White","08/2021",1,0,"2024-08-10",NA
"245","Pittsburgh, PA","Zip Code","15007","White","09/2021",0,0,"2024-08-10",NA
"246","Pittsburgh, PA","Zip Code","15007","White","10/2021",0,0.2,"2024-08-10",NA
"247","Pittsburgh, PA","Zip Code","15007","White","11/2021",0,0,"2024-08-10",NA
"248","Pittsburgh, PA","Zip Code","15007","White","12/2021",0,0,"2024-08-10",NA
"249","Pittsburgh, PA","Zip Code","15007","White","01/2022",0,0.25,"2024-08-10",NA
"250","Pittsburgh, PA","Zip Code","15007","White","02/2022",0,0,"2024-08-10",NA
"251","Pittsburgh, PA","Zip Code","15007","White","03/2022",0,0.2,"2024-08-10",NA
"252","Pittsburgh, PA","Zip Code","15007","White","04/2022",0,0,"2024-08-10",NA
"253","Pittsburgh, PA","Zip Code","15007","White","05/2022",0,0,"2024-08-10",NA
"254","Pittsburgh, PA","Zip Code","15007","White","06/2022",0,0,"2024-08-10",NA
"255","Pittsburgh, PA","Zip Code","15007","White","07/2022",0,0.25,"2024-08-10",NA
"256","Pittsburgh, PA","Zip Code","15007","White","08/2022",0,0,"2024-08-10",NA
"257","Pittsburgh, PA","Zip Code","15007","White","09/2022",0,0,"2024-08-10",NA
"258","Pittsburgh, PA","Zip Code","15007","White","10/2022",0,0.2,"2024-08-10",NA
"259","Pittsburgh, PA","Zip Code","15007","White","11/2022",0,0,"2024-08-10",NA
"260","Pittsburgh, PA","Zip Code","15007","White","12/2022",0,0,"2024-08-10",NA
"261","Pittsburgh, PA","Zip Code","15007","White","01/2023",0,0.25,"2024-08-10",NA
"262","Pittsburgh, PA","Zip Code","15007","White","02/2023",0,0,"2024-08-10",NA
"263","Pittsburgh, PA","Zip Code","15007","White","03/2023",0,0.2,"2024-08-10",NA
"264","Pittsburgh, PA","Zip Code","15007","White","04/2023",0,0,"2024-08-10",NA
"265","Pittsburgh, PA","Zip Code","15007","White","05/2023",0,0,"2024-08-10",NA
"266","Pittsburgh, PA","Zip Code","15007","White","06/2023",0,0,"2024-08-10",NA
"267","Pittsburgh, PA","Zip Code","15007","White","07/2023",0,0.25,"2024-08-10",NA
"268","Pittsburgh, PA","Zip Code","15007","White","08/2023",0,0,"2024-08-10",NA
"269","Pittsburgh, PA","Zip Code","15007","White","09/2023",0,0,"2024-08-10",NA
"270","Pittsburgh, PA","Zip Code","15007","White","10/2023",0,0.2,"2024-08-10",NA
"271","Pittsburgh, PA","Zip Code","15007","White","11/2023",0,0,"2024-08-10",NA
"272","Pittsburgh, PA","Zip Code","15007","White","12/2023",0,0,"2024-08-10",NA
"273","Pittsburgh, PA","Zip Code","15007","White","01/2024",0,0.25,"2024-08-10",NA
"274","Pittsburgh, PA","Zip Code","15007","White","02/2024",0,0,"2024-08-10",NA
"275","Pittsburgh, PA","Zip Code","15007","White","03/2024",0,0.2,"2024-08-10",NA
"276","Pittsburgh, PA","Zip Code","15007","White","04/2024",0,0,"2024-08-10",NA
"277","Pittsburgh, PA","Zip Code","15007","White","05/2024",0,0,"2024-08-10",NA
"278","Pittsburgh, PA","Zip Code","15007","White","06/2024",0,0,"2024-08-10",NA
"279","Pittsburgh, PA","Zip Code","15007","White","07/2024",0,0.25,"2024-08-10",NA
"280","Pittsburgh, PA","Zip Code","15007","White","08/2024",0,0,"2024-08-10",NA
"281","Pittsburgh, PA","Zip Code","15012","White","01/2020",0,0,"2024-08-10",NA
"282","Pittsburgh, PA","Zip Code","15012","White","02/2020",0,0,"2024-08-10",NA
"283","Pittsburgh, PA","Zip Code","15012","White","03/2020",0,0,"2024-08-10",NA
"284","Pittsburgh, PA","Zip Code","15012","White","04/2020",0,0,"2024-08-10",NA
"285","Pittsburgh, PA","Zip Code","15012","White","05/2020",0,0,"2024-08-10",NA
"286","Pittsburgh, PA","Zip Code","15012","White","06/2020",0,0.25,"2024-08-10",NA
"287","Pittsburgh, PA","Zip Code","15012","White","07/2020",0,0,"2024-08-10",NA
"288","Pittsburgh, PA","Zip Code","15012","White","08/2020",0,0,"2024-08-10",NA
"289","Pittsburgh, PA","Zip Code","15012","White","09/2020",0,0,"2024-08-10",NA
"290","Pittsburgh, PA","Zip Code","15012","White","10/2020",0,0,"2024-08-10",NA
"291","Pittsburgh, PA","Zip Code","15012","White","11/2020",0,0.5,"2024-08-10",NA
"292","Pittsburgh, PA","Zip Code","15012","White","12/2020",0,0,"2024-08-10",NA
"293","Pittsburgh, PA","Zip Code","15012","White","01/2021",0,0,"2024-08-10",NA
"294","Pittsburgh, PA","Zip Code","15012","White","02/2021",0,0,"2024-08-10",NA
"295","Pittsburgh, PA","Zip Code","15012","White","03/2021",0,0,"2024-08-10",NA
"296","Pittsburgh, PA","Zip Code","15012","White","04/2021",0,0,"2024-08-10",NA
"297","Pittsburgh, PA","Zip Code","15012","White","05/2021",0,0,"2024-08-10",NA
"298","Pittsburgh, PA","Zip Code","15012","White","06/2021",0,0.25,"2024-08-10",NA
"299","Pittsburgh, PA","Zip Code","15012","White","07/2021",0,0,"2024-08-10",NA
"300","Pittsburgh, PA","Zip Code","15012","White","08/2021",0,0,"2024-08-10",NA
"301","Pittsburgh, PA","Zip Code","15012","White","09/2021",0,0,"2024-08-10",NA
